Cubies N,Colors number,Color 1,Pos Color 1 x,Pos Color 1 y,Identifier,Color 2,Pos Color 2 x,Pos Color 2 y,Identifier,Color 3,Pos Color 3 x,Pos Color 3 y,Identifier
1,3,yellow,5,0,0101,blue,3,8,0102,orange,1,6,0103
2,2,yellow,5,1,0201,orange,1,7,0202,grey,-1,-1,None
3,3,yellow,5,2,0301,green,2,6,0302,orange,1,8,0303
4,2,yellow,5,3,0401,blue,3,7,0402,grey,-1,-1,None
5,1,yellow,5,4,0501,grey,-1,-1,None,grey,-1,-1,None
6,2,yellow,5,5,0601,green,2,7,0602,grey,-1,-1,None
7,3,yellow,2,8,0701,blue,5,6,0702,red,3,6,0703
8,2,yellow,5,7,0801,red,3,7,0802,grey,-1,-1,None
9,3,yellow,2,8,0901,red,5,8,0902,green,3,6,0903
10,2,blue,3,5,1001,orange,1,3,1002,grey,-1,-1,None
11,1,blue,3,4,1101,grey,-1,-1,None,grey,-1,-1,None
12,2,blue,3,3,1201,red,3,5,1202,grey,-1,-1,None
13,3,blue,3,2,1301,orange,3,0,1302,white,0,0,1303
14,2,blue,3,1,1401,white,0,1,1402,grey,-1,-1,None
15,3,blue,2,2,1501,red,0,2,1502,white,3,0,1503
16,1,red,3,4,1601,grey,-1,-1,None,grey,-1,-1,None
17,2,red,3,3,1701,green,2,5,1702,grey,-1,-1,None
18,2,red,2,3,1801,white,1,5,1802,grey,-1,-1,None
19,3,red,1,2,1901,green,0,8,1902,white,2,0,1903
20,1,green,2,4,2001,grey,-1,-1,None,grey,-1,-1,None
21,2,green,1,1,2101,orange,0,7,2102,grey,-1,-1,None
22,2,green,2,1,2201,white,0,5,2202,grey,-1,-1,None
23,3,green,0,6,2301,orange,1,0,2302,white,3,2,2303
24,1,orange,1,4,2401,grey,-1,-1,None,grey,-1,-1,None
25,2,orange,3,1,2501,white,0,3,2502,grey,-1,-1,None
26,1,white,0,4,2601,grey,-1,-1,None,grey,-1,-1,None
,,,,,,,,,,,,,
